,Half scale,Double scale,Base scale,Policy
413,70808.80749999965,63000.0,63000.0,ELOP
414,62902.339999999385,68407.08500000031,73851.58499999996,ELOP
415,65549.57749999966,64235.00250000006,72014.89999999967,ELOP
416,60000.0,66000.0,63000.0,ELOP
417,78000.0,67332.55500000005,60802.91000000015,ELOP
418,65686.58499999996,66000.0,62941.6399999999,ELOP
419,72000.0,62674.997500000056,64429.59499999997,ELOP
420,60000.0,86328.57750000001,75598.10749999946,ELOP
421,77426.37999999989,71730.50500000012,63073.51750000008,ELOP
422,63000.0,70029.59499999997,65988.98499999964,ELOP
423,68755.81999999983,63000.0,69207.44750000001,ELOP
424,60000.0,65193.11500000011,63211.42749999999,ELOP
425,71337.45500000007,66000.0,60000.0,ELOP
426,62999.38749999972,74115.81999999995,60000.0,ELOP
427,66000.0,67483.16500000004,63000.0,ELOP
428,60000.0,69729.90000000002,74991.12249999982,ELOP
429,74001.0075000003,63211.427499999874,63128.36999999988,ELOP
430,63212.04000000004,72618.46499999962,63000.0,ELOP
431,61796.64000000013,62998.317500000005,72156.67500000051,ELOP
432,60000.0,63287.09499999997,63000.0,ELOP
433,75192.64749999996,63000.0,60000.0,ELOP
434,63000.0,63571.640000000014,60000.0,ELOP
435,60000.0,63000.0,60230.61499999999,ELOP
436,67588.34499999974,78473.93499999994,66930.26249999995,ELOP
437,74223.8825000003,75598.10750000004,63000.0,ELOP
438,64298.82249999931,67226.48249999993,65334.84499999997,ELOP
439,60000.0,62998.317500000005,70980.96999999997,ELOP
440,77728.47250000015,63206.834999999846,63937.59750000015,ELOP
441,65212.76249999972,64050.00250000006,64640.30000000028,ELOP
442,66000.0,69583.67749999999,60000.0,ELOP
443,60000.0,63559.69750000001,60000.0,ELOP
444,75000.0,70114.94499999995,61787.6549999998,ELOP
445,65050.65999999968,63000.0,70696.77249999996,ELOP
446,66000.0,72749.99750000006,64437.50249999994,ELOP
447,64075.29999999981,63201.42749999999,68784.84999999986,ELOP
448,70724.8999999999,62088.11499999999,66000.0,ELOP
449,64720.00249999994,62247.91000000003,66000.0,ELOP
450,63784.59499999974,60000.0,60000.0,ELOP
451,66000.0,63000.0,60000.0,ELOP
452,69619.94499999983,76574.02500000002,63093.84250000003,ELOP
453,62998.31749999989,75203.1100000001,72000.0,ELOP
454,62585.61500000022,66218.16249999998,62998.31749999989,ELOP
455,66000.0,63203.56999999995,66414.83500000043,ELOP
456,72387.0849999995,63000.0,66000.0,ELOP
457,63201.42749999976,62999.69499999995,66000.0,ELOP
458,60000.0,66000.0,62416.81749999989,ELOP
459,64035.61499999929,63000.0,60262.497500000056,ELOP
460,70338.06249999953,72389.58499999996,87217.60999999987,ELOP
461,63000.0,62939.18499999994,69159.59499999997,ELOP
462,60000.0,70603.32499999995,63201.42750000022,ELOP
463,63206.83500000043,63000.0,75135.4624999999,ELOP
464,68139.84999999963,60000.0,65105.00249999994,ELOP
465,64212.29249999998,60000.0,63753.11499999999,ELOP
466,60000.0,60000.0,69176.79249999998,ELOP
467,63000.0,61819.90000000002,63000.0,ELOP
468,62406.99749999959,80853.91999999993,85153.57750000013,ELOP
469,66000.0,67978.27500000014,66574.64500000025,ELOP
470,60000.0,65997.85750000004,63000.0,ELOP
471,67244.88499999978,63000.0,73528.32000000007,ELOP
472,60000.0,63017.28749999986,62999.69500000007,ELOP
473,66000.0,63192.9574999999,63206.83499999996,ELOP
474,60000.0,63957.65500000003,66867.86250000005,ELOP
475,72000.0,63000.0,63000.0,ELOP
476,60000.0,69840.5625,77298.93500000006,ELOP
477,64830.00249999994,67955.48750000016,66000.0,ELOP
478,60000.0,63822.24749999994,62043.87999999989,ELOP
479,70309.59499999974,70424.42249999999,68408.67749999999,ELOP
480,60000.0,60000.0,63192.95750000025,ELOP
481,62999.69499999983,60000.0,63000.0,ELOP
482,60000.0,60000.0,63000.0,ELOP
483,67506.48249999993,60000.0,63000.0,ELOP
484,60000.0,85090.35249999992,77161.52499999967,ELOP
485,63192.95750000002,69263.40000000014,65997.85749999993,ELOP
486,60000.0,65022.247500000056,69740.48750000005,ELOP
487,66218.1625000001,65079.53750000021,66000.0,ELOP
488,60000.0,66469.90500000003,63000.0,ELOP
489,63000.0,63000.0,71910.64749999996,ELOP
490,60000.0,61998.47250000003,63000.0,ELOP
491,65997.85749999993,60075.00249999994,61232.39999999991,ELOP
492,60000.0,67462.40500000014,82028.45250000083,ELOP
493,62642.45250000013,78000.0,64152.24749999959,ELOP
494,60000.0,64073.51749999996,78000.0,ELOP
495,65302.247500000056,78000.0,63370.1549999998,ELOP
496,60000.0,60000.0,63222.13500000001,ELOP
497,60000.0,61745.19750000001,78000.0,ELOP
498,60000.0,61979.23000000021,62487.50249999994,ELOP
499,63000.0,60000.0,60000.0,ELOP
500,60000.0,79419.04250000021,85001.02750000032,ELOP
501,60000.0,80592.19750000001,63000.0,ELOP
502,60000.0,63000.0,72081.28249999997,ELOP
503,63000.0,65279.69750000001,61410.97249999968,ELOP
504,87206.45250000013,66000.00000000012,66334.90500000003,ELOP
505,76128.30000000028,64571.21999999997,74589.90250000008,ELOP
506,70558.60999999987,60000.00000000012,60000.0,ELOP
507,62995.0,60000.0,60000.0,ELOP
